qc_hhgrid_w4_pergrid	PLEASE CODE THE PERSON YOU ARE SPEAKING TO
qc_hhgrid_w4_cdoby	"(What is [NAME]/[ff_forname]'s date of birth?) (Details collected previously: [NAME] [SURNAME], [SEX], [DOB])"
qc_hhgrid_w4_cageif	"What was [NAME]/[ff_forname]’s age at their last birthday? If you don't know, please give your best estimate."
qc_hhgrid_w4_marstat	"Since personal circumstances can change over time, we would just like to check some important information.  What is [[NAME]’s / [CNAME]’s / [ff_forname]’s / [your]] legal marital status?"
qc_hhgrid_w4_livesp	"May I just check, does [[NAME]’s / [CNAME]’s / [ff_forname]’s / [your]] [spouse/civil partner] live with [[NAME]/ [CNAME] / [you]] in this household?"
qc_hhgrid_w4_livewith	"And, [are you / is [NAME] / is [CNAME] / is [ff_forname]] living with someone in this household as a couple?"
qc_hhgrid_w4_employ	[Are you] / [Is [NAME]/[ff_forname]] in paid employment?
qc_hhgrid_w4_relconf1	We just need to confirm the relationships amongst the household members. Please indicate the relationships that are still correct.
qc_hhgrid_w4_relconf2	We just need to confirm the relationships amongst the household members. Please indicate the relationships that are still correct.
qc_hhgrid_w4_r	I just need to confirm the relationships amongst the household members. We have that [NAME] is [NAME]'s [ff_ro] {if NewPer = 4} / [NAME] is [NAME]'s ... {if NewPer NOT EQUAL TO 4}
qc_hhgrid_w4_hhlang	"DOES ANYONE AGED 10 OR OVER IN HHOLD REQUIRE AN INTERVIEW IN ONE OF THE TRANSLATED LANGUAGES?  TRANSLATED LANGUAGES ARE: ARABIC, BENGALI, CANTONESE, GUJARATI, PUNJABI (GURMUKHI), PUNJABI (URDU), SOMALI, URDU AND WELSH"
qc_hhgrid_w4_lingua	In which language would you/[NAME] like to be interviewed?
qc_hhgrid_w4_utinfo	"The last time we interviewed at this household, we learned that [ff_forname ff_surname (list each ff_potrejoiner)] had left. We have been unable to locate them but would still like to speak to them. Do you have any information about how to contact them?"
qc_hhgrid_w4_uttype	"Do you have an address, telephone number, e-mail address or some other type of information for [ff_forname ff_surname and/or ff_forname ff_surname and/or ff_forname ff_surname]?"
qc_hhgrid_w4_utadd1	Please tell me the first line of their address.
qc_hhgrid_w4_uttown	And in which town is that?
qc_hhgrid_w4_utpcode	And the postcode please if you know it.
qc_hhgrid_w4_utarea	"Could you tell us either the village, town county or region they moved to, if they moved abroad could you tell us what country they went to?"
qc_hhgrid_w4_uttel1	What is their telephone number?
qc_hhgrid_w4_uttel2	"Would you have a second telephone number, for example a work, mobile or landline number?"
qc_hhgrid_w4_utemail	What is their e-mail address?
qc_hhgrid_w4_utother	Please tell us is there any other information which you think might be useful?
qc_hhgrid_w4_alladd1	"Earlier you said that you are not currently living at this address. [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode] What is your current address? ENTER FIRST LINE OF ADDRESS"
qc_hhgrid_w4_alladd2	"Earlier you said that you are not currently living at this address. [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode] What is your current address? ENTER SECOND LINE OF ADDRESS"
qc_hhgrid_w4_alladd3	"Earlier you said that you are not currently living at this address. [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode] What is your current address? ENTER THIRD LINE OF ADDRESS"
qc_hhgrid_w4_alladd4	"Earlier you said that you are not currently living at this address. [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode] What is your current address? ENTER FOURTH LINE OF ADDRESS"
qc_hhgrid_w4_allpcode	"Earlier you said that you are not currently living at this address. [ff_address1] [ff_address2] [ff_address3] [ff_address4], [ff_address5] [ff_postcode] What is your current address? ENTER POSTCODE"
qc_hhgrid_w4_conadd1	Is this now your current address?  [alladd1]  [alladd2]  [alladd3]  [alladd4] [AllPCode] 
qc_hhgrid_w4_regionchk	CODE COUNTRY INTERVIEW IS BEING CARRIED OUT IN.
qc_household_w4_inthhold	"This interview is completely voluntary, if we should come to any question that you don't want to answer, just let me know and we'll go onto the next question."
qc_household_w4_ivh	RECORD WHO IS ANSWERING HOUSEHOLD QUESTIONNAIRE RECORD PERSON NUMBERS FROM HOUSEHOLD GRID
qc_household_w4_hsroomchk	"When we interviewed you on [ff_Idate], you said you had [ff_HsBeds] bedroom(s), excluding any you may sublet and [ff_HsRooms] other rooms, excluding kitchens and bathrooms. Is that still the case?"
qc_household_w4_hsbeds	I would like to ask you a few questions about your household's accommodation. {if (HHGRID.OrigAdd = 2|DK|REF) | (ff_HsBeds = DK|REF|MIS) | (ff_HsRooms = DK|REF|MIS)} How many bedrooms are there here excluding any bedrooms you may let or sublet?
qc_household_w4_hsrooms	"And how many other rooms do you have in your accommodation, excluding kitchens and bathrooms?"
qc_household_w4_hsowndchk	And is this accommodation still [ff_HsOwnd]?
qc_household_w4_hsownd	"Does your household own this accommodation outright, is it being bought with a mortgage, is it rented or does it come rent-free?"
qc_household_w4_hsowr1	In whose name is this (house/flat/room) owned?
qc_household_w4_hsval	About how much would you expect to get for your home if you sold it today?
qc_household_w4_mgynot	How did you come to own this property outright? Have you...
qc_household_w4_hsyrbuy	In what year did you buy or first become the owner of this property?
qc_household_w4_hscost	How much did you pay for the property?
qc_household_w4_hsyr04	In what year did you first start paying a mortgage on this house/flat?
qc_household_w4_mgold	"How much did you borrow originally when you bought the property or took out your mortgage, that is excluding any later additions to the mortgage?"
qc_household_w4_mglife	How many years has the mortgage still to run?
qc_household_w4_mgtype	Is your mortgage or loan ...
qc_household_w4_mgextra	Have you taken out any additional mortgage on this house/flat since [[ff_Idate]] {IF HHGRID.OrigAdd = 1} / [becoming the owner of the property] {IF HHGRID.OrigAdd = 2}?
qc_household_w4_mgnew	How much in total is this additional mortgage or loan?
qc_household_w4_mgxty	"What was this additional mortgage, loan or drawdown used for?"
qc_household_w4_xpmg	How much was your last total monthly instalment on all mortgages or loans for this property?
qc_household_w4_hsjb	Does the accommodation go with the present job of anyone in the household?
qc_household_w4_rentp	In whose name is this (house/flat/room) rented?
qc_household_w4_rentll	Who is the accommodation rented from or provided by?
qc_household_w4_rentf	Do you rent your accommodation...
qc_household_w4_rent	"How much was the last rent payment, including any services or water charges but after any rebates?"
qc_household_w4_rentwc	What period did this cover?
qc_household_w4_rentinc	Did your last rent include any payment for any of the following things?
qc_household_w4_renthb	Was any Housing Benefit such as rent rebate or rent allowance deducted from the last rent payment?
qc_household_w4_rentg	So what would the last rent payment have been if Housing Benefit had not been deducted from it?
qc_household_w4_fuelhave	Which of the following types of domestic fuel do you have in your accommodation...
qc_household_w4_fuelduel	Do you pay your gas and electric as one bill or separately?
qc_household_w4_xpduely	"In the last year, since 1st [interview month] [interview year - 1], how much has your household spent on gas and electricity combined?"
qc_household_w4_duelpay	How do you pay for your gas and electricity?
qc_household_w4_xpelecy	"In the last year, since 1st [interview month] [interview year - 1], how much has your household spent on electricity?"
qc_household_w4_elecpay	How do you pay for your electricity?
qc_household_w4_xpgasy	"In the last year, since 1st [interview month] [interview year - 1], how much has your household spent on gas including calor gas?"
qc_household_w4_gaspay	How do you pay for your gas?
qc_household_w4_xpoily	"In the last year, since 1st [interview month] [interview year - 1], how much has your household spent on oil?"
qc_household_w4_xpsfly	"In the last year, since 1st [interview month] [interview year - 1], how much has your household spent on other fuel, including solid fuel?"
qc_household_w4_heatch	"Do you have any form of central heating, including any electric storage heaters, in your (part of the) accommodation?"
qc_household_w4_solar1	Have you installed or are you seriously considering any of the following... solar panels for electricity?
qc_household_w4_solar2	Have you installed or are you seriously considering any of the following... Solar water heating?
qc_household_w4_solar3	Have you installed or are you seriously considering any of the following... A wind turbine to generate electricity?
qc_household_w4_etariff	"Does your household buy, or is your household seriously considering buying its electricity on a Green Tariff? By Green Tariff we mean a payment scheme where your electricity supplier provides electricity from renewable sources such as wind power to the National Grid for the amount you use."
qc_household_w4_rubrec	"Do you separate your rubbish into items that can be recycled through your normal rubbish collection always, usually, sometimes or never?"
qc_household_w4_othrec1	And how often does your household use bottle banks in your area?
qc_household_w4_othrec2	Paper or cardboard recycling points?
qc_household_w4_othrec3	"Plastic bag recycling point, including at a supermarket?"
qc_household_w4_othrec4	Garden waste recycling facilities?
qc_household_w4_hsctax	Could you please tell me which Council Tax band this accommodation is in? The bands run from Band A to Band H.
qc_household_w4_xphsdb	"Many people find it hard to keep up with their housing payments. In the last twelve months, have you ever found yourself behind with your rent/mortgage?"
qc_household_w4_xphsdct	"In the last twelve months, have you ever found yourself behind with paying your Council Tax?"
qc_household_w4_xphsdba	"Sometimes people are not able to pay every household bill when it falls due. May I ask, are you up to date with all your household bills such as electricity, gas, water rates, telephone and other bills or are you behind with any of them?"
qc_household_w4_cduse	Could you please tell me which of the following items you have in your (part of the) accommodation. Just tell me the numbers that apply.
qc_household_w4_pchas	Do you have in your (part of the) accommodation a home computer/PC?
qc_household_w4_pcnet	Does your household have access to the internet from home?
qc_household_w4_pcbroad	Do you have a broadband connection from your home computer?
qc_household_w4_conintro	The next questions are about how much your household has spent in the last four weeks on food eaten at home and food bought outside the home. Please include expenditure for all household members even if you are not sure of the exact amounts other people spend.
qc_household_w4_xpfood1_g3	"About how much has your household spent in total on food and groceries in the last four weeks from a supermarket or other food shop or market? Please do not include alcohol but do include non-food items such as paper products, home cleaning supplies and pet foods."
qc_household_w4_xpfdout_g3	"And about how much have you and other members of your household {if HHGRID.hhsize > 1} spent in total on meals or snacks purchased outside the home in the last four weeks? Please include food bought from takeaways, restaurants, sandwich shops, work or school canteens but do not include alcohol."
qc_household_w4_xpaltob_g3	"About how much have you and other members of your household {if HHGRID.hhsize > 1} spent in total on alcohol in the last four weeks? Please include alcohol purchased from a supermarket or off licence and from pubs, restaurants or other venues."
qc_household_w4_matdepa	"For each of the following things please tell me the number from the showcard which best explains whether you (and your family/partner) have it or not. Do you (and your family/partner) have... A holiday away from home for at least one week a year, whilst not staying with relatives at their home?"
qc_household_w4_matdepi	Do you have a small amount of money to spend each week on yourself (not on your family)?
qc_household_w4_matdepj	Do you and your family/partner keep up with bills and regular debt repayments?
qc_household_w4_matdepd	(Do you and your family/partner have...) Enough money to keep your house in a decent state of repair?
qc_household_w4_matdepe	(Do you and your family/partner have...) Household contents insurance?
qc_household_w4_matdepf	(Do you and your family/partner have...) Enough money to make regular savings of £10 a month or more for rainy days or retirement?
qc_household_w4_matdepg	(Do you and your family/partner have...) Enough money to replace any worn out furniture?
qc_household_w4_matdeph	"(Do you and your family/partner have...) Enough money to replace or repair major electrical goods such as a refrigerator or a washing machine, when broken?"
qc_household_w4_hheat	"For the next question please just answer yes or no. In winter, are you able to keep this accommodation warm enough?"
qc_household_w4_cdephave1	The next questions are about any children normally resident in this household. Does the child {if GRIDVARIABLES.NKIDS015 = 1} / Do the childen {if GRIDVARIABLES.NKIDS015 greater than 1} have... A family holiday away from home for at least one week a year?
qc_household_w4_cdephave2	And are there enough bedrooms for every child of 10 or over of a different sex to have their own bedroom?
qc_household_w4_cdephave3	(Does the child have/do the children have...) Leisure equipment such as sports equipment or a bicycle?
qc_household_w4_cdephave4	"(Does the child have/do the children have...) Celebrations on special occassions such as birthdays, Christmas or other religious festivals?"
qc_household_w4_cdepdo4	"I now want to ask some questions about whether or not the children can afford to do a number of different activities. Please choose the answer from this card. Does the child/do the children... Attend at least one regular organized activity a week outside school, such as sport or a youth group?"
qc_household_w4_cdepdo2	(Does the child/do the children...) Do a hobby or leisure activity?
qc_household_w4_cdepdo3	(Does the child/do the children...) Have friends around for tea or a snack once a fortnight?
qc_household_w4_cdepdo5	(Does the child/do the children...) East fresh fruit and/or vegetables every day?
qc_household_w4_cdepdo6	(Does the child/do the children...) Have a warm winter coat?
qc_household_w4_cplay	"Does the child/do the children go to a toddler group, nursery or playgroup at least once a week?"
qc_household_w4_cdeptrp	Does the child/do the children go on school trips?
qc_household_w4_cdelply	For the next question just answer yes or no. Does the child/do the children have an outdoor space or facilities where they can play safely?
qc_household_w4_pdepa	Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} eat at least one filling meal a day?
qc_household_w4_pdepb	"(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) go out socially, either alone or with other people, at least once a month?"
qc_household_w4_pdepc	(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) See friends or family ar least once a month?
qc_household_w4_pdepd	(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) take a holiday away from home for a week or more at least once a year?
qc_household_w4_pdepe	Would the cooker be able to be replaced if it broke down?
qc_household_w4_pdepf	Is your home kept in a good state of repair?
qc_household_w4_pdepg	"Are your heating, electrics, plumbing and drains kept in good working order?"
qc_household_w4_pdeph	Do you have a damp-free home?
qc_household_w4_pdepi	Is your home kept adequately warm?
qc_household_w4_pdepk	"(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) have a telephone to use, whenever one is needed?"
qc_household_w4_pdepl	(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) have access to a car or taxi whenever one is needed?
qc_household_w4_pdepm	(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) have your hair done or cut regularly?
qc_household_w4_pdepn	(Do all the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Do you {if HHGRID.hhsize = 1} ) have a warm waterproof coat?
qc_household_w4_pdepo	Would all of the people living here of pensionable age {if HHGRID.hhsize greater than 1} / Would you {if HHGRID.hhsize = 1} be able to pay an unexpected expense of £ 200?
qc_household_w4_pdepoh	How would you pay for this unexpected expense of £ 200?
qc_household_w4_nvestintro	"Learning more about how people get by financially these days is a very important part of this study. This year we are interested in learning more about the investments held by you or anyone in your household. They can be in one name only, in joint names among household members or held with people outside the household."
qc_household_w4_nvestrt	"Which, if any, of these types of investments are held by you or anyone in your household?"
qc_household_w4_nonvesty	What is the main reason you do not have any investments?
qc_household_w4_nvestamtrt	How much in total is the current balance of the [INVESTRTCODE]?
qc_household_w4_nvestb1rt	"Would it amount to £ 1,000 or more?"
qc_household_w4_nvestb2rt	"Would it amount to £ 5,000 or more?"
qc_household_w4_nvestb3rt	"Would it amount to £ 25,000 or more?"
qc_household_w4_nvestb5rt	"Would it amount to £ 100,000 or more?"
qc_household_w4_nvestb4rt	Would it amount to £ 500 or more?
qc_household_w4_nvestljrt	Is/are these investment(s) held jointly with anyone outside this household?
qc_household_w4_nvestlskrt	About how much of the amount in investments is held by members of this household?
qc_household_w4_invdocs	PLEASE RECORD WHETHER RESPONDENT CHECKED ANY RELEVANT DOCUMENTS/PAPERWORK WHEN GIVING YOU INFORMATION ABOUT INVESTMENTS HELD.
qc_household_w4_ncars	How many cars or vans in total does your household own or have continuous use of?
qc_household_w4_carval	If you sold your vehicle(s) approximately how much would you expect to get at current prices minus anything you still owe on it/them?
qc_household_w4_ensze	What is the engine size of your [first/second/third] car/van?
qc_household_w4_whodrive	Who drives this car most often?
qc_household_w4_carn2h	Was this car/van bought or obtained new or second hand?
qc_household_w4_carfuel	What fuel does the engine use?
qc_household_w4_carage	What is the approximate age of the car/van?
qc_demographics_w4_chkresp	"I need to make sure I'm interviewing the correct person, you are [NAME], born on [DOB] and you are [SEX]?"
qc_demographics_w4_mvever	Have you personally lived at this address your whole life?
qc_demographics_w4_mvmnth	When did you personally move to this address?
qc_demographics_w4_mvyr	PLEASE ENTER THE YEAR THIS RESPONDENT MOVED TO THE CURRENT ADDRESS.
qc_demographics_w4_lkmove	"If you could choose, would you stay here in your present home or would you prefer to move somewhere else?"
qc_demographics_w4_xpmove	"Even though you may not want to move, do you expect you will move in the coming year? {if LkMove=1} / Do you expect you will move in the coming year? {if LkMove=2}"
qc_demographics_w4_xpmvwhn	Do you know when you might be likely to move?
qc_demographics_w4_xpmvmnth	When might you be likely to move?
qc_demographics_w4_xpmvyr	(When might you be likely to move?)
qc_demographics_w4_xpmvwhr	Do you know where you might be moving to?
qc_demographics_w4_xpmvadd1	"Where might you move to? ENTER FIRST LINE OF ADDRESS - HOUSE NUMBER OR NAME AND DETAILS OF ROAD(S). IF NOT KNOWN, ENTER CTRL + K."
qc_demographics_w4_xpmvtown	"(Where might you move to?) ENTER POSTAL TOWN. IF POSTAL TOWN IS NOT KNOWN, ENTER CTRL + K."
qc_demographics_w4_xpmvpcode	"(Where might you move to?) ENTER POSTAL CODE. IF COMPLETE POSTAL CODE IS NOT KNOWN, ENTER CTRL + K."
qc_demographics_w4_xpmvarea	"(Where might you move to?) PROBE FOR AREA LIKELY TO MOVE TO. IF HOUSE AND ROAD NOT KNOWN, PROBE FOR VILLAGE, TOWN, COUNTY, REGION. IF LIKELY TO MOVE ABROAD, RECORD COUNTRY."
qc_demographics_w4_jbstat	Which of these best describes your current employment situation?
qc_demographics_w4_mlstatchk	We have your legal marital status as [MARSTAT]. Is this correct?
qc_demographics_w4_mlstat	What is your current legal marital status?
qc_demographics_w4_drive	Do you have a full UK driving licence?
qc_demographics_w4_caruse	Do you normally have access to a car or van that you can use whenever you want to?
qc_demographics_w4_mobuse	Do you personally have a mobile phone?
qc_demographics_w4_netpuse	How often do you use the internet for your personal use?
qc_initialconditions_w4_ukborn	"Were you born in the UK, that is in England, Scotland, Wales or Northern Ireland?"
qc_initialconditions_w4_plbornc	In which country were you born?
qc_initialconditions_w4_plboth	PLEASE WRITE IN COUNTRY
qc_initialconditions_w4_plbornuk	In which UK county were you born?
qc_initialconditions_w4_plbornuko	WRITE IN NAME OF OTHER COUNTY
qc_initialconditions_w4_yr2uk4	"In what year did you first come to this country to live, even if you have spent time abroad since?"
qc_initialconditions_w4_citzn	"Are you a UK citizen, a citizen of your country of birth or a citizen of another country? If you have citizenship of more than one country please tell me all of them."
qc_initialconditions_w4_citzno	What is your present citizenship? If you have dual citizenship please tell me both.
qc_initialconditions_w4_qfhigh	Can you tell me the highest educational or school qualification you have obtained?
qc_initialconditions_w4_qualoc	"Can I just check, did you gain this qualification in the UK?"
qc_initialconditions_w4_qfvoc	"And which of the following vocational or other qualifications do you have, if any?"
qc_initialconditions_w4_school	How old were you when you left school?
qc_initialconditions_w4_scend	WRITE IN AGE RESPONDENT LEFT SCHOOL
qc_initialconditions_w4_schlloc	And where was your school...
qc_initialconditions_w4_schcode	What is/was the name of your school?
qc_initialconditions_w4_schok	Are the details reported below correct? [SCHNAME]
qc_initialconditions_w4_schname	What is/was the name of your school?
qc_initialconditions_w4_fenow	"And how old were you when you left college or university, or when you finished or stopped your course?"
qc_initialconditions_w4_feend	WRITE IN AGE RESPONDENT LEFT COLLEGE/UNIVERSITY
qc_educationalaspirations_w4_edtype	Are you...
qc_educationalaspirations_w4_edasp	What are the highest level exams you would like to gain before you leave school {if edtype = 1} / college {if edtype == 2|3}?
qc_educationalaspirations_w4_lvschdo	What would you most like to do when you have completed this exam or qualification?
qc_educationalaspirations_w4_ahvwell	How important do you think it is for you to do well in these exams or other qualifications?
qc_educationalaspirations_w4_hedlik	"How likely is it that you will seek higher education at a college or university, even if you take a gap year? Is it..."
qc_educationalaspirations_w4_hednt	What is the main reason you might not go to college or university?
qc_educationalaspirations_w4_hednto	What reason is that?
qc_ownfirstjob_w4_j1none	"Since leaving full-time education, have you ever had a paid job?"
qc_ownfirstjob_w4_j1soc00	What was your own first job after leaving full-time education? Please tell me the exact job title and describe the work you did.
qc_ownfirstjob_w4_j1semp	Were you working as an employee or were you self-employed?
qc_ownfirstjob_w4_j1boss	Did you have employees?
qc_ownfirstjob_w4_j1mngr	Did you have any managerial duties or were you supervising any other employees?
qc_youngadults_w4_ypamar	At what age do you want to get married?
qc_youngadults_w4_ypapar	At what age would you like to start a family?
qc_youngadults_w4_yafuta	"Thinking of your own future, what would you like to be doing with your life in about ten year's time from now?"
qc_youngadults_w4_lvhm	At what age would you like to leave home?
qc_youngadults_w4_yasoc00	"What job would you like to do once you leave school, finish your training or finish full-time education?"
qc_familybackground_w4_paju	"Thinking back to when you were 14 years old, was your father working at that time?"
qc_familybackground_w4_pasoc00	What job was your father doing at that time?
qc_familybackground_w4_maju	And was your mother working when you were 14?
qc_familybackground_w4_masoc00	What job was your mother doing at that time?
qc_familybackground_w4_pacob	In which country was your father born?
qc_familybackground_w4_pacobo	WRITE IN OTHER COUNTRY
qc_familybackground_w4_payruk	Has your father ever lived in the UK?
qc_familybackground_w4_macob	In which country was your mother born?
